,bike_nr,birth_date,duration,end_date,end_station,gender,id,resource_uri,start_date,start_station,status,subscription_type,zip_code
167,B00495,,5003,2011-10-12T17:23:00,/api/v1/station/30/,,107957,/api/v1/trip/107957/,2011-10-12T15:59:00,/api/v1/station/33/,Closed,Casual,
168,B00514,,13930,2011-09-30T17:35:00,/api/v1/station/33/,,88098,/api/v1/trip/88098/,2011-09-30T13:43:00,/api/v1/station/33/,Closed,Casual,
169,B00155,,6938,2011-09-21T17:00:00,/api/v1/station/33/,,74493,/api/v1/trip/74493/,2011-09-21T15:04:00,/api/v1/station/33/,Closed,Casual,
170,B00046,,44325,2011-09-17T11:02:00,/api/v1/station/37/,,67582,/api/v1/trip/67582/,2011-09-16T22:43:00,/api/v1/station/33/,Closed,Casual,
171,B00417,,3663,2011-09-03T20:39:00,/api/v1/station/33/,,48466,/api/v1/trip/48466/,2011-09-03T19:38:00,/api/v1/station/33/,Closed,Casual,
172,B00423,,6915,2011-10-24T13:07:00,/api/v1/station/33/,,123627,/api/v1/trip/123627/,2011-10-24T11:12:00,/api/v1/station/33/,Closed,Casual,
173,B00282,,5342,2011-10-22T14:50:00,/api/v1/station/40/,,120840,/api/v1/trip/120840/,2011-10-22T13:21:00,/api/v1/station/33/,Closed,Casual,
174,B00331,,4704,2011-10-19T00:03:00,/api/v1/station/56/,,116481,/api/v1/trip/116481/,2011-10-18T22:44:00,/api/v1/station/33/,Closed,Casual,
175,B00122,,5042,2011-10-12T17:23:00,/api/v1/station/30/,,107960,/api/v1/trip/107960/,2011-10-12T15:59:00,/api/v1/station/33/,Closed,Casual,
176,B00346,,16782,2011-09-18T14:47:00,/api/v1/station/42/,,69531,/api/v1/trip/69531/,2011-09-18T10:08:00,/api/v1/station/33/,Closed,Casual,
177,B00506,,4949,2011-09-16T18:04:00,/api/v1/station/33/,,66961,/api/v1/trip/66961/,2011-09-16T16:41:00,/api/v1/station/33/,Closed,Casual,
178,B00181,,3778,2011-09-13T09:09:00,/api/v1/station/12/,,61336,/api/v1/trip/61336/,2011-09-13T08:06:00,/api/v1/station/33/,Closed,Casual,
179,B00602,1950.0,4358,2011-11-06T10:51:00,/api/v1/station/33/,Female,135917,/api/v1/trip/135917/,2011-11-06T09:38:00,/api/v1/station/33/,Closed,Registered,02215
180,B00451,,6931,2011-10-24T13:07:00,/api/v1/station/33/,,123629,/api/v1/trip/123629/,2011-10-24T11:12:00,/api/v1/station/33/,Closed,Casual,
181,B00300,,17751,2011-10-21T20:09:00,/api/v1/station/35/,,119311,/api/v1/trip/119311/,2011-10-21T15:13:00,/api/v1/station/33/,Closed,Casual,
182,B00055,1950.0,4251,2011-10-17T15:57:00,/api/v1/station/33/,Female,114101,/api/v1/trip/114101/,2011-10-17T14:46:00,/api/v1/station/33/,Closed,Registered,02215
183,B00446,,5296,2011-10-14T13:49:00,/api/v1/station/38/,,109681,/api/v1/trip/109681/,2011-10-14T12:21:00,/api/v1/station/33/,Closed,Casual,
184,B00434,,4601,2011-10-06T13:56:00,/api/v1/station/33/,,96143,/api/v1/trip/96143/,2011-10-06T12:40:00,/api/v1/station/33/,Closed,Casual,
185,B00562,,8070,2011-09-30T18:21:00,/api/v1/station/38/,,88397,/api/v1/trip/88397/,2011-09-30T16:06:00,/api/v1/station/33/,Closed,Casual,
186,B00512,,3817,2011-09-18T13:10:00,/api/v1/station/33/,,69721,/api/v1/trip/69721/,2011-09-18T12:07:00,/api/v1/station/33/,Closed,Casual,
187,B00246,,39947,2011-09-03T11:42:00,/api/v1/station/36/,,47025,/api/v1/trip/47025/,2011-09-03T00:36:00,/api/v1/station/33/,Closed,Casual,
188,B00359,,3984,2011-11-09T13:39:00,/api/v1/station/56/,,140273,/api/v1/trip/140273/,2011-11-09T12:33:00,/api/v1/station/33/,Closed,Casual,
189,B00297,,3844,2011-10-22T18:29:00,/api/v1/station/36/,,121496,/api/v1/trip/121496/,2011-10-22T17:25:00,/api/v1/station/33/,Closed,Casual,
190,B00397,,8303,2011-10-22T15:34:00,/api/v1/station/20/,,120833,/api/v1/trip/120833/,2011-10-22T13:16:00,/api/v1/station/33/,Closed,Casual,
191,B00454,,5127,2011-10-10T13:42:00,/api/v1/station/33/,,103902,/api/v1/trip/103902/,2011-10-10T12:17:00,/api/v1/station/33/,Closed,Casual,
192,B00183,,9546,2011-10-09T23:56:00,/api/v1/station/10/,,103199,/api/v1/trip/103199/,2011-10-09T21:17:00,/api/v1/station/33/,Closed,Casual,
193,B00425,,3944,2011-10-09T08:18:00,/api/v1/station/33/,,101096,/api/v1/trip/101096/,2011-10-09T07:12:00,/api/v1/station/33/,Closed,Casual,
194,B00115,,6466,2011-09-25T11:40:00,/api/v1/station/33/,,79416,/api/v1/trip/79416/,2011-09-25T09:52:00,/api/v1/station/33/,Closed,Casual,
195,B00552,,24634,2011-09-18T09:11:00,/api/v1/station/33/,,69385,/api/v1/trip/69385/,2011-09-18T02:20:00,/api/v1/station/33/,Closed,Casual,
196,B00432,,4502,2011-09-11T17:33:00,/api/v1/station/23/,,58890,/api/v1/trip/58890/,2011-09-11T16:18:00,/api/v1/station/33/,Closed,Casual,
197,B00311,,35805,2011-11-20T11:56:00,/api/v1/station/41/,,151088,/api/v1/trip/151088/,2011-11-20T02:00:00,/api/v1/station/33/,Closed,Casual,
198,B00422,,4753,2011-11-05T18:15:00,/api/v1/station/44/,,135587,/api/v1/trip/135587/,2011-11-05T16:56:00,/api/v1/station/33/,Closed,Casual,
199,B00397,,14324,2011-10-22T13:10:00,/api/v1/station/33/,,120334,/api/v1/trip/120334/,2011-10-22T09:12:00,/api/v1/station/33/,Closed,Casual,
200,B00289,,31270,2011-10-16T11:35:00,/api/v1/station/8/,,111956,/api/v1/trip/111956/,2011-10-16T02:54:00,/api/v1/station/33/,Closed,Casual,
201,B00548,,3840,2011-09-21T16:42:00,/api/v1/station/33/,,74544,/api/v1/trip/74544/,2011-09-21T15:38:00,/api/v1/station/33/,Closed,Casual,
202,B00015,,13984,2011-09-11T14:53:00,/api/v1/station/33/,,57951,/api/v1/trip/57951/,2011-09-11T11:00:00,/api/v1/station/33/,Closed,Casual,
203,B00031,,10634,2011-09-10T16:33:00,/api/v1/station/44/,,56260,/api/v1/trip/56260/,2011-09-10T13:35:00,/api/v1/station/33/,Closed,Casual,
204,B00531,,10445,2011-09-10T15:48:00,/api/v1/station/22/,,56152,/api/v1/trip/56152/,2011-09-10T12:54:00,/api/v1/station/33/,Closed,Casual,
205,B00365,,4192,2011-09-03T12:12:00,/api/v1/station/33/,,47299,/api/v1/trip/47299/,2011-09-03T11:02:00,/api/v1/station/33/,Closed,Casual,
