,bike_nr,birth_date,duration,end_date,end_station,gender,id,resource_uri,start_date,start_station,status,subscription_type,zip_code
459,B00031,1975.0,1511,2011-08-31T18:01:00,/api/v1/station/4/,Female,42991,/api/v1/trip/42991/,2011-08-31T17:36:00,/api/v1/station/31/,Closed,Registered,02118
460,B00423,,940,2011-08-31T17:53:00,/api/v1/station/33/,,42990,/api/v1/trip/42990/,2011-08-31T17:37:00,/api/v1/station/42/,Closed,Casual,
461,B00099,1968.0,872,2011-08-31T17:50:00,/api/v1/station/35/,Male,42989,/api/v1/trip/42989/,2011-08-31T17:36:00,/api/v1/station/16/,Closed,Registered,02021
462,B00287,,1163,2011-08-31T17:55:00,/api/v1/station/12/,,42988,/api/v1/trip/42988/,2011-08-31T17:36:00,/api/v1/station/3/,Closed,Casual,
463,B00503,,957,2011-08-31T17:53:00,/api/v1/station/33/,,42987,/api/v1/trip/42987/,2011-08-31T17:37:00,/api/v1/station/42/,Closed,Casual,
464,B00454,,5219,2011-08-31T19:03:00,/api/v1/station/55/,,42986,/api/v1/trip/42986/,2011-08-31T17:36:00,/api/v1/station/21/,Closed,Casual,
465,B00386,1953.0,1452,2011-08-31T17:59:00,/api/v1/station/34/,Female,42985,/api/v1/trip/42985/,2011-08-31T17:35:00,/api/v1/station/47/,Closed,Registered,02215
466,B00452,1965.0,1455,2011-08-31T17:59:00,/api/v1/station/34/,Male,42984,/api/v1/trip/42984/,2011-08-31T17:35:00,/api/v1/station/47/,Closed,Registered,02215
467,B00058,1963.0,1174,2011-08-31T17:54:00,/api/v1/station/42/,Male,42983,/api/v1/trip/42983/,2011-08-31T17:34:00,/api/v1/station/23/,Closed,Registered,02108
468,B00372,,5229,2011-08-31T19:03:00,/api/v1/station/55/,,42982,/api/v1/trip/42982/,2011-08-31T17:36:00,/api/v1/station/21/,Closed,Casual,
469,B00554,1979.0,598,2011-08-31T17:43:00,/api/v1/station/21/,Male,42981,/api/v1/trip/42981/,2011-08-31T17:33:00,/api/v1/station/22/,Closed,Registered,02116
470,B00411,,6737,2011-08-31T19:26:00,/api/v1/station/46/,,42980,/api/v1/trip/42980/,2011-08-31T17:34:00,/api/v1/station/46/,Closed,Casual,
471,B00179,1986.0,418,2011-08-31T17:39:00,/api/v1/station/40/,Male,42979,/api/v1/trip/42979/,2011-08-31T17:32:00,/api/v1/station/23/,Closed,Registered,02113
472,B00286,1964.0,287,2011-08-31T17:37:00,/api/v1/station/46/,Male,42978,/api/v1/trip/42978/,2011-08-31T17:32:00,/api/v1/station/25/,Closed,Registered,02118
473,B00156,,6865,2011-08-31T19:27:00,/api/v1/station/46/,,42977,/api/v1/trip/42977/,2011-08-31T17:33:00,/api/v1/station/46/,Closed,Casual,
474,B00007,1973.0,1146,2011-08-31T17:50:00,/api/v1/station/50/,Female,42976,/api/v1/trip/42976/,2011-08-31T17:31:00,/api/v1/station/32/,Closed,Registered,02215
475,B00475,1974.0,518,2011-08-31T17:40:00,/api/v1/station/40/,Male,42975,/api/v1/trip/42975/,2011-08-31T17:31:00,/api/v1/station/42/,Closed,Registered,02109
476,B00507,1957.0,456,2011-08-31T17:38:00,/api/v1/station/22/,Female,42974,/api/v1/trip/42974/,2011-08-31T17:31:00,/api/v1/station/31/,Closed,Registered,02476
477,B00388,1973.0,1579,2011-08-31T17:57:00,/api/v1/station/21/,Male,42973,/api/v1/trip/42973/,2011-08-31T17:31:00,/api/v1/station/13/,Closed,Registered,02118
478,B00447,,710,2011-08-31T17:45:00,/api/v1/station/32/,,42972,/api/v1/trip/42972/,2011-08-31T17:33:00,/api/v1/station/16/,Closed,Casual,
479,B00468,1986.0,1198,2011-08-31T17:50:00,/api/v1/station/49/,Male,42971,/api/v1/trip/42971/,2011-08-31T17:30:00,/api/v1/station/3/,Closed,Registered,02215
480,B00389,1980.0,382,2011-08-31T17:36:00,/api/v1/station/25/,Female,42970,/api/v1/trip/42970/,2011-08-31T17:30:00,/api/v1/station/52/,Closed,Registered,02116
481,B00342,1987.0,747,2011-08-31T17:42:00,/api/v1/station/36/,Male,42969,/api/v1/trip/42969/,2011-08-31T17:30:00,/api/v1/station/53/,Closed,Registered,02215
482,B00541,,4481,2011-08-31T18:45:00,/api/v1/station/32/,,42966,/api/v1/trip/42966/,2011-08-31T17:30:00,/api/v1/station/36/,Closed,Casual,
483,B00093,,1064,2011-08-31T17:47:00,/api/v1/station/53/,,42965,/api/v1/trip/42965/,2011-08-31T17:29:00,/api/v1/station/43/,Closed,Casual,
484,B00570,1959.0,1123,2011-08-31T17:47:00,/api/v1/station/33/,Male,42964,/api/v1/trip/42964/,2011-08-31T17:29:00,/api/v1/station/31/,Closed,Registered,02468
485,B00552,1972.0,1472,2011-08-31T17:52:00,/api/v1/station/9/,Male,42963,/api/v1/trip/42963/,2011-08-31T17:28:00,/api/v1/station/6/,Closed,Registered,02143
486,B00417,1975.0,386,2011-08-31T17:34:00,/api/v1/station/34/,Female,42962,/api/v1/trip/42962/,2011-08-31T17:27:00,/api/v1/station/14/,Closed,Registered,01746
487,B00383,1975.0,512,2011-08-31T17:36:00,/api/v1/station/4/,Male,42961,/api/v1/trip/42961/,2011-08-31T17:27:00,/api/v1/station/22/,Closed,Registered,02118
488,B00044,,600,2011-08-31T17:39:00,/api/v1/station/36/,,42960,/api/v1/trip/42960/,2011-08-31T17:29:00,/api/v1/station/45/,Closed,Casual,
489,B00275,1953.0,1395,2011-08-31T17:50:00,/api/v1/station/38/,Male,42958,/api/v1/trip/42958/,2011-08-31T17:27:00,/api/v1/station/10/,Closed,Registered,02111
490,B00326,,1316,2011-08-31T17:50:00,/api/v1/station/21/,,42959,/api/v1/trip/42959/,2011-08-31T17:28:00,/api/v1/station/52/,Closed,Casual,
491,B00107,1960.0,191,2011-08-31T17:30:00,/api/v1/station/25/,Male,42957,/api/v1/trip/42957/,2011-08-31T17:27:00,/api/v1/station/4/,Closed,Registered,02118
492,B00187,1966.0,458,2011-08-31T17:34:00,/api/v1/station/47/,Male,42956,/api/v1/trip/42956/,2011-08-31T17:27:00,/api/v1/station/24/,Closed,Registered,01880
493,B00576,1986.0,909,2011-08-31T17:41:00,/api/v1/station/24/,Male,42955,/api/v1/trip/42955/,2011-08-31T17:26:00,/api/v1/station/38/,Closed,Registered,02113
494,B00078,1971.0,769,2011-08-31T17:39:00,/api/v1/station/6/,Male,42953,/api/v1/trip/42953/,2011-08-31T17:26:00,/api/v1/station/42/,Closed,Registered,01890
495,B00013,,996,2011-08-31T17:42:00,/api/v1/station/53/,,42952,/api/v1/trip/42952/,2011-08-31T17:26:00,/api/v1/station/27/,Closed,Casual,
496,B00517,1962.0,657,2011-08-31T17:36:00,/api/v1/station/26/,Male,42951,/api/v1/trip/42951/,2011-08-31T17:25:00,/api/v1/station/42/,Closed,Registered,02118
497,B00478,1981.0,1131,2011-08-31T17:44:00,/api/v1/station/26/,Male,42950,/api/v1/trip/42950/,2011-08-31T17:25:00,/api/v1/station/11/,Closed,Registered,02703
498,B00461,1972.0,699,2011-08-31T17:36:00,/api/v1/station/21/,Male,42948,/api/v1/trip/42948/,2011-08-31T17:25:00,/api/v1/station/14/,Closed,Registered,02118
499,B00398,1985.0,1300,2011-08-31T17:46:00,/api/v1/station/47/,Male,42947,/api/v1/trip/42947/,2011-08-31T17:25:00,/api/v1/station/36/,Closed,Registered,02113
500,B00201,,738,2011-08-31T17:37:00,/api/v1/station/9/,,42946,/api/v1/trip/42946/,2011-08-31T17:25:00,/api/v1/station/55/,Closed,Casual,
